"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.679898607E0,7.652339935E-1,1.876949966E-1,-9.922180176E-1
1.684921192E0,6.728659868E-1,6.643080115E-1,-2.637912989E0
1.689943758E0,5.909079909E-1,4.611090124E-1,-2.258383989E0
1.694966253E0,3.687990010E-1,8.775219917E-1,-3.170263052E0
1.699988765E0,3.718459904E-1,6.504629850E-1,-2.937681913E0
1.705011342E0,1.157089993E-1,8.836020231E-1,-3.350281000E0
1.710033907E0,1.072409973E-1,7.539529800E-1,-3.322469950E0
1.715056536E0,4.711800069E-2,7.384459972E-1,-3.174369097E0
1.720079143E0,-2.555700019E-2,7.725700140E-1,-3.301548958E0
1.725101612E0,-5.451599881E-2,5.077570081E-1,-2.490245104E0
1.730124131E0,-5.259599909E-2,6.066780090E-1,-2.872086048E0
1.735146717E0,-2.956089973E-1,3.013150096E-1,-1.714158058E0
1.740169283E0,-1.765850037E-1,4.785990119E-1,-2.069145918E0
1.745191739E0,-4.851109982E-1,2.132959962E-1,-1.135314941E0
1.750214251E0,-3.734009862E-1,3.621279895E-1,-1.383638024E0
1.755236824E0,-5.829020143E-1,3.093230128E-1,-8.533080220E-1
1.760259389E0,-4.377869964E-1,3.602469862E-1,-9.462990165E-1
1.765282013E0,-3.887740076E-1,3.705430031E-1,-9.237970114E-1
1.770304620E0,-4.634270072E-1,4.004060030E-1,-8.293190002E-1
1.775327103E0,8.625300229E-2,4.960159957E-1,-9.768369794E-1
1.780349622E0,-6.254699826E-2,4.418820143E-1,-1.001276970E0
1.785372198E0,2.992730141E-1,6.942200065E-1,-1.265493035E0
1.790394764E0,2.213039994E-1,5.325620174E-1,-1.062631965E0
1.795417249E0,2.093690038E-1,8.800449967E-1,-2.011225939E0
1.800439761E0,2.919430137E-1,6.257209778E-1,-1.594889045E0
1.805462393E0,-1.489300001E-2,1.042093992E0,-2.901534081E0
1.810484989E0,9.713599831E-2,7.538669705E-1,-2.468708992E0
1.815507550E0,-2.125910074E-1,1.085181952E0,-3.591123104E0
1.820530131E0,-9.419000149E-2,7.739700079E-1,-3.323832035E0
1.825552622E0,-2.939209938E-1,9.883360267E-1,-3.855710983E0
1.830575136E0,-1.822330058E-1,7.343649864E-1,-3.726711035E0
1.835597768E0,-2.994590104E-1,7.676990032E-1,-3.621464968E0
1.840620365E0,-1.691640019E-1,5.642359853E-1,-3.827372074E0
1.845642795E0,-4.081130028E-1,4.482980072E-1,-2.529138088E0
1.850665281E0,-2.114520073E-1,4.523499906E-1,-3.105176926E0
1.855687913E0,-5.505260229E-1,1.901039928E-1,-1.556331992E0
1.860710505E0,-3.554480076E-1,1.635189950E-1,-1.977581024E0
1.865733067E0,-4.302769899E-1,8.673900366E-2,-1.017858982E0
1.870755647E0,-3.583790064E-1,6.668200344E-2,-1.180953979E0
1.875778137E0,-3.651649952E-1,1.825799979E-2,-6.103140116E-1
1.880800651E0,-3.042680025E-1,-4.848000128E-3,-8.671320081E-1
1.885823233E0,2.087740004E-1,-3.162600100E-2,-2.685270011E-1
1.890845798E0,-1.185080037E-1,-6.420599669E-2,-3.278869987E-1
1.895868422E0,5.578780174E-1,-7.013799995E-2,-3.605899960E-2
1.900891029E0,3.981400132E-1,-1.170699969E-1,-2.173800021E-1
1.905913522E0,2.811770141E-1,5.794899911E-2,2.605119944E-1
1.910936041E0,3.715260029E-1,-4.962399974E-2,1.729570031E-1
1.915958636E0,-4.757900164E-2,5.242399871E-2,4.262860119E-1
1.920981202E0,8.499699831E-2,-1.570400037E-2,3.562279940E-1
1.926003835E0,-2.665419877E-1,1.656699926E-2,7.109130025E-1
1.931026442E0,-1.224099994E-1,8.488000371E-3,5.561879873E-1
1.936048930E0,-3.395720124E-1,3.352999920E-3,1.133913040E0
1.941071449E0,-2.777900100E-1,7.999999798E-5,9.617230296E-1
1.946094025E0,-3.740499914E-2,-1.297499985E-1,1.434296966E0
